kernel,stage_id,stage,kruskal_H_allstages,kruskal_p_allstages,mean_z_vs_all,auc_one_vs_rest,rho_with_ribo,p_with_ribo,rho_with_ribo_residual_RNA,p_with_ribo_residual_RNA,score
kernel_k12_f17,2,4C,5008.315874341417,0.0,0.2500272393226623,0.5817908555190432,-0.0155774229526138,0.037172436051005,-0.0515766303248863,5.062074826829946e-12,0.030006811881505027
kernel_k6_f58,2,4C,5888.850899975697,0.0,0.2722451984882355,0.6046805404122793,-0.0127240765449673,0.0887319008406583,-0.0441344930076577,3.4924355945932326e-09,0.026687269082692415
kernel_k12_f31,2,4C,2544.7029526786173,0.0,0.1767981946468353,0.558039936379172,-0.0170012231537123,0.0229443521687906,-0.0389144533038146,1.9147819935644358e-07,0.021715819045890962
kernel_k6_f34,2,4C,4283.815247143111,0.0,0.1718591004610061,0.5699713106555504,-0.0133019367970992,0.0751687323132173,-0.0376663077605715,4.648465189619385e-07,0.021468714801848265
kernel_k16_f56,2,4C,5717.997359367843,0.0,0.2317557632923126,0.574981069846462,-0.0155146726981616,0.037943021390399,-0.0356042568670211,1.8963224609511423e-06,0.020471773704488036
kernel_k6_f39,2,4C,4321.583732788295,0.0,0.1928166002035141,0.5659297953147915,-0.0030613951534924,0.6821629768401163,-0.0346562421427434,3.530920898204469e-06,0.01961300002222262
kernel_k12_f61,2,4C,5036.958028718826,0.0,0.2314750850200653,0.5741439549422441,-0.0139979513626592,0.0611305618721208,-0.0328715393283794,1.0910101347429412e-05,0.018872995595035268
kernel_k6_f6,2,4C,3818.0453645987386,0.0,0.167891725897789,0.5567858394670524,-0.0074459015264025,0.3192371987995551,-0.0333353328284065,8.180938910828222e-06,0.018560641272777904
kernel_k10_f57,2,4C,3840.557896798803,0.0,0.225349947810173,0.5725561608761864,-0.0042301317050159,0.5714938394896957,-0.031330448518919,2.765106239162926e-05,0.017938441322521266
kernel_k12_f60,2,4C,3876.123341271505,0.0,0.1915574967861175,0.5628247198735694,-0.011438109952357,0.1259951989500025,-0.0314348705716381,2.599593010751357e-05,0.017692322223744124
kernel_k6_f36,3,8C,2222.5701993080565,0.0,0.0269533134996891,0.5612898629185485,-0.0221852979055778,0.0029972789039018,-0.0135168417948625,0.0705778056851242,0.007586866278130081
kernel_k6_f8,3,8C,796.11554577208,1.4147184747273168e-166,0.0957386344671249,0.5927249913709449,0.0106454281019261,0.1544340425470472,0.0113919295870151,0.1275314466798905,0.006752281366161937
kernel_k20_f57,8,hESC,1911.942343038135,0.0,0.1728611439466476,0.5558191474479829,-0.0241574395277488,0.0012295723221034,-0.0354263367078703,2.1335140997381308e-06,0.01969063626617365
kernel_k20_f52,8,hESC,1127.368776217073,4.70165645567482e-238,0.1810743510723114,0.5622573484166402,-0.0062083680206263,0.4062673332268887,-0.0334240804025751,7.739193186710332e-06,0.018792934820416465
kernel_k20_f8,8,hESC,896.1958522834506,3.736127529566072e-188,0.1804071217775344,0.5564611188128838,0.0117419261807637,0.1162450193759218,0.0311558346629715,3.064472716777972e-05,0.01733701061410635
kernel_k12_f16,8,hESC,2570.042112423406,0.0,0.2184082269668579,0.5717178153574299,-0.0138115827682753,0.0646578530740272,-0.0286993372866071,0.0001231329354287,0.01640792241570504
kernel_k10_f58,8,hESC,2248.9019860403523,0.0,0.2240482717752456,0.5719067133230562,-0.0096264164397347,0.1978425041254277,-0.0257562265298336,0.000569173283173,0.01473015886228124
kernel_k12_f19,8,hESC,1375.5459477842578,1.0966610748565426e-291,0.1757481396198272,0.5601761270983504,-0.0213596775111018,0.0042694265438577,-0.026116619377298,0.000475614713399,0.014629906695676525
kernel_k12_f6,8,hESC,1761.7938613231383,0.0,0.1950490921735763,0.5673498901459713,-0.0109592963057744,0.1426396529171746,-0.0250340618719535,0.0008103185010809,0.014203072252960264
kernel_k20_f45,8,hESC,2221.4971676671985,0.0,0.2248941212892532,0.5736985341466035,-0.0122855768497023,0.1002874410574981,-0.0238969018954269,0.0013883434361794,0.013709617588051604
kernel_k10_f15,8,hESC,1358.0717448265398,6.575285796803506e-288,0.1524551659822464,0.550747987109598,-0.0091845742613787,0.2192161624312567,-0.0205612910903136,0.0059467258033043,0.011324089680364727
kernel_k12_f56,8,hESC,2646.074939570331,0.0,0.2227593660354614,0.5731077775007449,-0.0179016687104822,0.0166277541941642,-0.0176686221020821,0.0180956171786942,0.010126024744424813
