"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"UP_KW_DOMAIN","Signal","40.00%","36","69","4426","14656","1.92e-4","3.85e-3","1.73","3.84e-3","3.85e-3","1.09e-4"
"UP_SEQ_FEATURE","CARBOHYD:N-linked (GlcNAc...) asparagine","37.78%","34","86","4425","20669","1.93e-4","8.41e-2","1.85","1.12e-1","8.41e-2","1.02e-4"
"UP_SEQ_FEATURE","DOMAIN:Ig-like V-type","6.67%","6","86","139","20669","2.73e-4","8.41e-2","10.37","1.55e-1","8.41e-2","2.51e-5"
"UP_KW_BIOLOGICAL_PROCESS","Cell adhesion","11.11%","10","55","494","11605","4.10e-4","1.81e-2","4.27","1.79e-2","1.81e-2","9.28e-5"
"GOTERM_CC_DIRECT","membrane","58.89%","53","86","9038","20808","7.31e-4","6.50e-2","1.42","1.10e-1","6.38e-2","5.07e-4"
"GOTERM_CC_DIRECT","basement membrane","5.56%","5","86","102","20808","8.13e-4","6.50e-2","11.86","1.22e-1","6.38e-2","6.52e-5"
"GOTERM_BP_DIRECT","cell adhesion","12.22%","11","88","677","19512","8.53e-4","5.33e-1","3.60","4.14e-1","5.33e-1","2.29e-4"
"INTERPRO","Ig_V-set","10.00%","9","90","484","20827","1.09e-3","2.38e-1","4.30","3.25e-1","2.36e-1","2.45e-4"
"INTERPRO","Ig_sub","10.00%","9","90","528","20827","1.89e-3","2.38e-1","3.94","4.94e-1","2.36e-1","4.62e-4"
"GOTERM_CC_DIRECT","plasma membrane","42.22%","38","86","5927","20808","2.12e-3","1.13e-1","1.55","2.88e-1","1.11e-1","1.34e-3"
"INTERPRO","PLAC","3.33%","3","90","18","20827","2.64e-3","2.38e-1","38.57","6.13e-1","2.36e-1","6.08e-5"
"UP_SEQ_FEATURE","DOMAIN:PLAC","3.33%","3","86","19","20669","2.73e-3","5.62e-1","37.95","8.15e-1","5.62e-1","6.42e-5"
"SMART","IG","10.00%","9","52","528","10704","3.25e-3","2.27e-1","3.51","2.04e-1","2.27e-1","8.89e-4"
"GOTERM_CC_DIRECT","side of membrane","5.56%","5","86","150","20808","3.34e-3","1.34e-1","8.07","4.15e-1","1.31e-1","3.97e-4"
"GOTERM_BP_DIRECT","extracellular matrix organization","5.56%","5","88","147","19512","4.24e-3","1.00e+0","7.54","9.30e-1","1.00e+0","5.37e-4"
"INTERPRO","CEA_cell_adhesion","3.33%","3","90","24","20827","4.69e-3","2.38e-1","28.93","8.15e-1","2.36e-1","1.48e-4"
"UP_KW_PTM","Cleavage on pair of basic residues","7.78%","7","75","310","14452","5.06e-3","6.73e-2","4.35","8.27e-2","6.73e-2","1.11e-3"
"INTERPRO","ADAMTS_CR_3","3.33%","3","90","25","20827","5.08e-3","2.38e-1","27.77","8.39e-1","2.36e-1","1.68e-4"
"UP_SEQ_FEATURE","DOMAIN:TSP type-1 5","3.33%","3","86","26","20669","5.09e-3","5.63e-1","27.73","9.57e-1","5.63e-1","1.69e-4"
"UP_SEQ_FEATURE","COMPBIAS:Pro residues","20.00%","18","86","2119","20669","5.22e-3","5.63e-1","2.04","9.60e-1","5.63e-1","2.46e-3"
"GOTERM_CC_DIRECT","extracellular region","23.33%","21","86","2693","20808","5.25e-3","1.68e-1","1.89","5.69e-1","1.65e-1","2.68e-3"
"INTERPRO","ADAMTS_ADAMTS-like","3.33%","3","90","26","20827","5.49e-3","2.38e-1","26.70","8.61e-1","2.36e-1","1.89e-4"
"INTERPRO","ADAMTS_spacer1","3.33%","3","90","26","20827","5.49e-3","2.38e-1","26.70","8.61e-1","2.36e-1","1.89e-4"
"INTERPRO","Ig-like_dom","11.11%","10","90","768","20827","5.51e-3","2.38e-1","3.01","8.63e-1","2.36e-1","1.75e-3"
"INTERPRO","Collagen","4.44%","4","90","86","20827","5.98e-3","2.38e-1","10.76","8.84e-1","2.36e-1","5.28e-4"
"OMIM_DISEASE","Mucoepidermoid salivary gland carcinoma","2.22%","2","22","2","6165","6.80e-3","2.18e-1","280.23","1.96e-1","2.18e-1","1.22e-5"
"UP_SEQ_FEATURE","DOMAIN:TSP type-1 4","3.33%","3","86","31","20669","7.19e-3","5.63e-1","23.26","9.88e-1","5.63e-1","2.87e-4"
